poster_session	id	session_ID	title	presenter	authors	affiliations
PSI	62	5	MASS SPECTROMETRY PROTEOTYPING FOR DETECTION, IDENTIFICATION CHARACTERIZATION AND DIAGNOSTICS OF INFECTIOUS BACTERIA IN CLINICAL RESPIRATORY SAMPLES	Lucia Gonzales Siles	Lucia Gonzales Siles_1; Roger Karlsson_1; Chantal van Houten_2; Louis Bont_2; Fredrik Boulund_3; Erik Kristiansson_3; Edward Moore_1	University of Gothenburg; University Medical Center Utrecht; Chalmers University
PSI	63	5	COMPARISON OF MLST, RMLST AND WGMSLT AS GLOBAL TYPING SCHEMES FOR S. ENTERICA	Madison Pearce	Madison Pearce_1; Martin Maiden_2; Kathie Grant_3; James Bray_2; Keith Jolley_2; Claire Jenkins_3; Tim Dallman_3; Philip Ashton_3	University of Oxford/Public Health England/ NIHR HPRU; University of Oxford; Public Health England
PSI	64	5	ON THE ROAD OF TRANSITION – FROM PFGE TO NGS BASED STRAIN TYPING	Elke Brockmann	Elke Brockmann_1; Jacob Bælum_1; Mads Bennedsen_1; Annette Møller_1; Birgitte Stuer-Lauridsen_1; Martin Abel-Kilstrup_1; Anette Wind_1	Chr. Hansen A/S
PSI	65	5	WHOLE GENOME SEQUENCING OF FECAL SAMPLES AS A TOOL FOR THE DIAGNOSIS AND GENETIC CHARACTERIZATION OF NOROVIRUS	Herjan Bavelaar	Herjan Bavelaar_1; Janette Rahamat-Langendoen1, Hubert G.M. Niesters2, Jan Zoll1, Willem J.G. Melchers_1	Department of Medical Microbiology, Radboud University Medical Center, Nijmegen, The Netherlands; Department of Medical Microbiology, Division of Clinical Virology, University Medical Center Groningen, Groningen, The Netherlands
PSI	66	5	PLASMABLASTS AFTER ANTIGEN CHALLENGE - A DIAGNOSTIC TOOL FOR ASSESSING RESPONSE TO INFLUENZA VACCINATION IN PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA	Ewelina Grywalska	Ewelina Grywalska_1	Medical University of Lublin
PSI	67	5	DISCRIMINATION OF VANCOMYCIN-RESISTANT ENTEROCOCCUS FAECIUM CLONES BY MLST (EBURST/BAPS) AND SPECTROSCOPIC TECHNIQUES (MALDI-TOF MS AND FTIR-ATR)	Ana R. Freitas	Ana R. Freitas_1; Clara Sousa_2; Jan Bavlovič_3; Liliana Silva_4; Carla Novais_1; Teresa M. Coque_5; João Lopes_6; Luísa Peixe_1	UCIBIO/REQUIMTE. Departamento de Ciências Biológicas. Laboratório de Microbiologia. Faculdade de Farmácia. Universidade do Porto.; CEB-Centro de Engenharia Biológica, Universidade do Minho.; Faculty of Pharmacy in Hradec Králové, Charles University, Prague and Faculty of Military Health Sciences, University of Defence, Brno, Czech Republic; UCIBIO/REQUIMTE. Departamento de Ciências Biológicas. Laboratório de Microbiologia. Faculdade de Farmácia. Universidade do Porto; ESALD, Instituto Politécnico de Castelo Branco; Servicio de Microbiologia. Hospital Ramón y Cajal. Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS); iMed, Departamento de Farmácia Galénica e Tecnologia Farmacêutica, Faculdade de Farmácia, Universidade de Lisboa
PSI	68	5	DEVELOPMENT OF A CONVENTIONAL MULTIPLEX PCR FOR IDENTIFICATION OF ESCHERICHIA COLI, ESCHERICHIA FERGUSONII, AND ESCHERICHIA ALBERTII	Garcia Toledo	Garcia Toledo, Lisley_1; Gladney, L.M_2; Fasulo, D._3; Strockbine, N_4; Carleton, H_4; Lindsey, R. L._4	Oak Ridge Institute for Science and Education;Centers for Disease Control and Prevention; IHRC, Inc; Centers for Disease Control and Prevention; Pattern Genomics, LLC; Enteric Diseases Laboratory Branch, Centers for Disease Control and Prevention
PSI	69	5	A COMPARISON OF DIVERSILAB REP-PCR AND CGMLST FOR MOLECULAR TYPING OF CARBAPENEM-RESISTANT ACINETOBACTER BAUMANNII ISOLATES FROM GREECE AND SPAIN	Paul G Higgins_1	Paul G Higgins_1; Stefanie Gerson_1; Jennifer Nowak_1; Esther Zander_1; Harald Seifert_1	University of Cologne
PSI	70	5	MULTILOCUS SEQUENCING TYPING AS A TOOL TO INVESTIGATE CHILDHOOD HAEMOPHILUS INFLUENZAE INVASIVE DISEASE IN PORTUGAL	Célia Bettencourt	Célia Bettencourt_1; Vitor Borges_1; José Gonçalo Marques_2; Florbela Cunha_3; Maria Paula Bajanca-Lavado_1	Instituto Nacional de Saúde Dr. Ricardo Jorge; Hospital de Santa Maria, Centro Hospitalar Lisboa Norte, EPE; Hospital de Vila Franca de Xira
PSI	71	5	COST EFFECTIVE STRATEGY FOR TYPING BRUCELLA ABORTUS IN AN ENDEMIC SCENARIO	Giuliano Garofolo	Giuliano Garofolo_1; Ilenia Platone_1; Katiuscia Zilli_1; Anna Abass_1; Elisabetta Di Giannatale_1	Istituto Zooprofilattico Sperimentale dell´Abruzzo e del Molise
PSI	72	5	CONCATENATED ITS, PARTIAL LSU AND BT2 SEQUENCES AS PHYLOGENETIC MARKERS IN THE DERMATOPHYTE GENUS TRICHOPHYTON	Ivan M. Pchelin	Ivan M. Pchelin_1; Olga V. Skorbunova_1; Natalya V. Vasilyeva_1; Anastasia E. Taraskina_1	Kashkin Research Institute of Medical Mycology, I. Mechnikov North-Western State Medical University
PSI	73	5	MIXED MYCOBACTERIUM TUBERCULOSIS INFECTIONS IN SWITZERLAND IDENTIFIED WITH WHOLE GENOME SEQUENCING	David Stucki	David Stucki_1; Marie Ballif_2; Hans-Jakob Furrer_3; Kathrin Zürcher_2; Matthias Egger_2; Sébastien Gagneux_1; Lukas Fenner_4	Swiss Tropical and Public Health Institute, University of Basel; Institute of Social and Preventive Medicine, University of Bern; Clinic for Infectious Diseases, Bern University Hospital, and University of Bern; Institute of Social and Preventive Medicine, University of Bern, and Swiss Tropical and Public Health Institute, University of Basel
PSII	1	6	COMPARATIVE GENOMICS PROVIDES INSIGHT IN THE EVOLUTION OF ANTIMICROBIAL RESISTANCE IN CANINE METHICILLIN-RESISTANT STAPHYLOCOCCUS PSEUDINTERMEDIUS	Birgitta Duim	Birgitta Duim_1; Jaap A. Wagenaar_1; Mirlin Spaninks_1; Arjen Timmerman_1; Els M. Broens_1; Aldert Zomer_1	1Utrecht University/Faculty of Veterinary Medicine
PSII	2	6	COMPARISON OF FULLY SEQUENCED GENOMES FROM CLINICAL AND NON-CLININAL ENTEROCOCCUS FAECIUM STRAINS	Young-Hee Jung	Young-Hee Jung_1; Taesoo Kwon_1; Won Kim_2	Korea National Institute of Health; Seoul National University
PSII	3	6	PHYLOGENY OF MYCOBACTERIUM LEPRAE USING WHOLE GENOME SEQUENCING	Andrej Benjak	Andrej Benjak_1; Charlotte Avanzi_1; Chloé Loiseau_1; Philippe Busso_1; Pushpendra Singh_2; Stewart Cole_1	Global Health Institute, EPFL; Louisiana State University - School of Veterinary Medicine
PSII	4	6	IN SILICO COMPARISON SEROTYPING AND GENOTYPING METHODS FOR C.TRACHOMATIS.	Zhanna Amirbekova	Zhanna Amirbekova_1; Dmitriy Babenko_1	Karaganda State Medical University
PSII	5	6	INVESTIGATION OF THE AUSTRIAN LA-MRSA POPULATION BY WHOLE GENOME SEQUENCE BASED TYPING	Sarah Lepuschitz	Sarah Lepuschitz_1; Burkhard Springer_1; Alexander Indra_1; Franz Allerberger_1; Werner Ruppitsch_1	Austrian Agency for Health and Food Safety
PSII	6	6	“UNEXPLAINED NEUROLOGICAL ILLNESS IN CHILDREN, MALKANGIRI, ODISHA – INDIA, 2014.”	Priyakanta Nayak	Priyakanta Nayak_1; Mohan Papanna_1; Aakash Shrivastava_1; Pradeep Khasnobis_1; Ganesh Lokhande_1; Anil Kumar_1; Srinivasa Venkatesh_1; Bikash Patnaik_2; Madan M Pradhan_2	National Centre for Disease Control; Directorate of Public Health, Odisha
PSII	7	6	WATER ON THE LUNGS” - CHARACTERISATION OF PATHOGENS IN PLEURAL EFFUSION BY THE USE OF METAGENOMIC SEQUENCING	Anna Maria Malberg Tetzschner	Anna Maria Malberg Tetzschner_1	Department of Systems Biology, The technical university of Denmark
PSII	8	6	EXAMINATION OF METAGENOMIC ANALYSIS FOR TYPING OF CAMPYLOBACTER IN A CULTURELESS FUTURE USING PRESENT-DAY TECHNOLOGY	Katrine Grimstrup Joensen	Katrine Grimstrup Joensen_1; Søren Persson_1	Statens Serum Institut
PSII	9	6	THE ROLE OF SURFACE ADHESINS IN EPIDEMIC HYPERVIRULENT CLOSTRIDIUM DIFFICILE BI/NAP1/027 STRAIN AND NON-EPIDEMIC STRAIN VIRULENCE AND BIO	SOZA BABAN	SOZA BABAN_1	UNIVERSITY OF NOTTINGHAM
PSII	10	6	BIFIDOBACTERIUM BIFIDUM YIT 10347 SUPPRESS GUT MICROBIOTA DYSBIOSIS AND ALLEVIATE SEVERE DIARRHEA IN HELICOBACTER PYLORI ERADICATION THERAPY	Toshifumi Ohkusa	Toshifumi Ohkusa_1; Takao Osaki_2; Hideo Yonezawa_2; Shigeru Kamiya_2	Department of gastroenterology and Hepatology, The Jikei University Kashiwa Hospital; Department of Infectious Diseases, Kyorin University School of Medicine
PSII	11	7	TRANSFER OF SILENCED VANA GENE CLUSTER BY BROAD HOST-RANGE PLASMID	Audun Sivertsen	Audun Sivertsen_1; Torunn Pedersen_2; Kjersti Wik Larssen_3; Kåre Bergh_3; Torunn Gresdal Rønning_3; Andreas Radke_3; Kristin Hegstad_2	University of Tromsø – The Arctic University of Norway; University hospital of North-Norway; St. Olavs Hospital
PSII	12	7	HIGH-LEVEL BETA-LACTAM RESISTANCE IN A STAPHYLOCOCCUS AUREUS STRAIN CARRYING THE MECC GENE DETERMINANT	Catarina Milheiriço	Catarina Milheiriço_1; Alexander Tomasz_2; Hermínia de Lencastre1,_2	Laboratory of Molecular Genetics, Instituto de Tecnologia Química e Biológica António Xavier (ITQB), Universidade Nova de Lisboa; Laboratoty of Microbiology and Infectious Diseases, The Rockefeller University
PSII	13	7	RESISTANCE TO DAPTOMYCIN IN VANCOMYCIN-RESISTANT ENTEROCOCCUS FAECIUM DURING DAPTOMYCIN TREATMENT	Christine Elmeskov	Christine Elmeskov_1; Mette Pinholt_1; Peder Worning_1; Jesper Boye Nielsen_1; Heidi Gumpert_1; Dorte Frees_2; Henrik Westh_1	Hvidovre University Hospital; University of Copenhagen
PSII	14	7	GENOMIC CHARACTERISATION OF THE RESISTOME AND MOBILOME OF GROUP B STREPTOCOCCUS	Pierre Emmanuel Douarre	Pierre Emmanuel Douarre_1; Elisabeth Sauvage_1; Philippe Glaser_1	Institut Pasteur
PSII	15	7	INVESTIGATION OF THE MECHANISM INVOLVED IN TIGECYCLINE RESISTANCE IN ENTEROCOCCUS SPP.	Stefan Fiedler	Stefan Fiedler_1; Jennifer Bender_1; Carola Fleige_1; Uta Geringer_1; Ingo Klare_1; Guido Werner_1	Robert Koch-Institute, Division 13 Nosocomial Pathogens and Antibiotic Resistances
PSII	16	7	CHARACTERISTICS OF PUBLICLY AVAILABLE STAPHYLOCOCCUS AUREUS GENOMES	Nir Gilad	Nir Gilad_1; Michal Ziv-Ukelson_2; Vered Chalifa-Caspi_1; Jacob Moran-Gilad_1	Ben-Gurion University; Ben Gurion University
PSII	17	7	COMPARISON OF EXTENDED-SPECTRUM BETA-LACTAMASE (ESBL)-PRODUCING ESCHERICHIA COLI ISOLATES FROM HOSPITALS, AMBULATORY SETTINGS AND THE COMMUNITY	Michael Pietsch	Michael Pietsch_1; Christoph Eller_2; Linda Falgenhauer_3; Rasmus Leistner_4; Giuseppe Valenza_5; Constanze Wendt_6; Guido Werner_1; Yvonne Pfeifer_1	Robert Koch Institute, FG 13 Nosocomial Pathogens and Antibiotic Resistance; Department of Laboratory Medicine, University Hospital Halle; Institute of Medical Microbiology, Justus Liebig University Giessen and German Center for Infection Research (DZIF), Partner site Giessen-Marburg-Langen, Campus Giessen; Charité Universitätsmedizin, Institut of Hygiene and Environmental Medicine; Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL); Labor Limbach
PSII	18	7	CHARACTERIZATION AND MOLECULAR EPIDEMIOLOGY OF PLASMID-MEDIATED QUINOLONE RESISTANCE ESCHERICHIA COLI ISOLATES FROM ALGERIA.	Yanat Betitra	Yanat Betitra_1; Machuca Jesús_2; Díaz de Alba Paula_2; Abdelaziz Touati_1; Pascual Alvaro_2; Rodriguez Martinez Jose Manuel_2	Laboratory of microbial ecology. University of Bejaia; Department of microbiology. Faculty of medicine. University of Seville
PSII	19	7	MOLECULAR CHARACTERISATION OF CARBAPENEM-RESISTANT GRAM-NEGATIVE BACTERIA FROM A BULGARIAN HOSPITAL	Yvonne Pfeifer	Yvonne Pfeifer_1; Angelina Trifonova_2; Michael Pietsch_1; Magdalena Brunner_1; Iva Todorova_2; Ivanka Gergova_2; Gottfried Wilharm_1; Guido Werner_1; Encho Savov_2	Robert Koch Institute; Military Medical Academy
PSII	21	7	EMERGENCE OF CTX-M -PRODUCING CLINICAL ISOLATES OF KLEBSIELLA PNEUMONIAE IN THE UNIVERSITY HOSPITAL ESTABLISHMENT OF ORAN, ALGERIA.	ZEMMOUR Assia	ZEMMOUR Assia_1; DALI-YAHIA Radia_2; SAIDI OUAHRANI Nadjia_1; RAHMANI Bouabdallah_1; Christian G. GISKE_3	UNIVERSTY OF SCIENCES AND TECHNOLOGY; University Hospital Establishment 1st, Novembre 1954; KAROLINSKA UNIVERSITY HOSPITAL
PSII	22	7	EPIDEMIOLOGY OF CARBAPENEM-RESISTANT PSEUDOMONAS PUTIDA GROUP CLINICAL ISOLATES RECOVERED FROM SCREENING CULTURES	Silke Peter	Silke Peter_1; Philipp Oberhettinger_1; Ariane Kirste_1; Wichard Vogel_2; Daniela Dörfel_2; Daniela Bezdan_3; Stephan Ossowski_3; Matthias Marschal_1; Jan Liese_1; Matthias Willmann_1	Institute of Medical Microbiology and Hygiene, University of Tübingen; Medical Center, Department of Hematology, Oncology, Immunology, Rheumatology & Pulmonology, University of Tübingen; Genomic and Epigenomic Variation in Disease Group, Centre for Genomic Regulation (CRG), Barcelona, Spain Universitat Pompeu Fabra (UPF)
PSII	23	7	FIRST REPORT OF MACROLIDE RESISTANCE AMONG SHIGELLA ISOLATES IN ISRAEL CAUSED BY THE MPHA AND ERM(B) GENES	Analia V. Ezernitchi	Analia V. Ezernitchi_1; Elizabeth Sirotkin_1; Vered Agmon_1; Lea Valinsky_1; Assaf Rokney_1	Ministry of Health
PSII	24	7	CTX-M-55 EXTENDED-SPECTRUM BETA-LACTAMASE AMONG ENTEROBACTERIACEAE FROM THE KOREAN ANTIMICROBIAL RESISTANCE MONITORING SYSTEM, 2008 TO 201_5	Jin Seok Kim	Jin Seok Kim, Soo Jin Kim, Jungsun Park, Gyung Tae Chung and Junyoung Kim,	Korea National Institute of Health, Division of Enteric Diseases
PSII	25	7	ACTIVE SCREENING AND GENOTYPING SUCCESSFULLY CONTROLS OUTBREAKS OF MULTI-DRUG-RESISTANT ENTEROBACTERIACEAE	Anneke van der Zee	Anneke van der Zee_1; Arjan Burggraaf_1; Lieuwe Roorda_1; Fer Vlaspolder_2; Jacobus M Ossewaarde_1	Maasstad Hospital; Maastad Hospital
PSII	26	7	GENETIC DIVERSITY AND MOLECULAR ANALYSIS OF QUINOLONE-RESISTANT SHIGELLA SONNEI ISOLATES FROM HUMANS IN REPUBLIC OF KOREA, 2008-201_4	Junyoung Kim	Junyoung Kim_1; Soo Jin Kim, Jin Seok Kim, Nan-Ok Kim, Sahyun Hong and Gyung Tae Chung	Korea National Institute of Health, Division of Enteric Diseases
PSII	27	7	ANTIMICROBIAL RESISTANCE AND VIRULENCE PROFILE IN COMMUNITY AND HOSPITAL-ACQUIRED URINARY TRACT INFECTIONS CAUSED BY KLEBSIELLA PNEUMONIAE	C. Caneiras_	C. Caneiras_1; L. Lito_2; J. Melo-Cristino_3; A. Duarte_1	1iMed.UL - Research Institute for Medicines and Pharmaceutical Sciences, Faculty of Pharmacy, University of Lisbon; Laboratory of Microbiology, Centro Hospitalar Lisboa Norte; Laboratory of Microbiology, Centro Hospitalar Lisboa Norte; Institute of Microbiology, Institute of Molecular Medicine, Faculty of Medicine, University of Lisbon
PSII	28	7	INCREASING COTRIMOXAZOLE SUSCEPTIBILITY ASSOCIATED WITH PREDOMINANCE OF INTERNATIONAL CLONE 2 ACINETOBACTER BAUMANNII CLINICAL ISOLATES: A NATIONWIDE	Spyros Pournaras	Spyros Pournaras_1; Konstantina Dafopoulo_1; Olympia Zarkotou_2; Aggeliki Poulou_3; Stamatina Levidiotou_4; Achilleas Gikas_5; Athanasios Tsakris1, Greek Study Group on Acinetobacter Antimicrobial Resistance	Medical School, University of Athens; Tzaneio Hospital; Serres Hospital; Ioannina University Hospital; Heraklion University Hospital
PSII	29	7	FAECAL CARRIAGE OF ESBL PRODUCING BACTERIA AMONG CHILDREN IN DAR ES SALAAM, TANZANIA	Marit Gjerde Tellevik	Marit Gjerde Tellevik_1; Sabrina J. Moyo_2; Samuel Y. Maselle_3; Bjørn Blomberg_1; Nina Langeland_2	Haukeland University Hospital; University of Bergen; Muhimbili University of Health and Allied Sciences
PSII	30	7	ESTABLISHING A CLOSED REFERENCE SEQUENCE OF A VANCOMYCIN-RESISTANCE PLASMID FROM ENTEROCOCCUS FAECIUM	Heidi Gumpert	Heidi Gumpert_1; Mette Pinholt_1; Peder Worning_1; Jesper Boye Nielsen_1; Henrik Westh_1	Hvidovre University Hospital
PSII	31	7	ICE CARRYING ANTIMICROBIAL RESISTANCE GENES AMONG PIG ISOLATES OF STREPTOCOCCUS SUIS IN POLAND	Ewa Sadowy	Ewa Sadowy_1; Agnieszka Bojarska_1; Zygmunt Pejsak_2; Waleria Hryniewicz_3	Department of Molecular Microbiology, National Medicines Institute; Department of Swine Diseases, National Veterinary Research Institute; Department of Epidemiology and Clinical Microbiology, National Medicines Institute
PSII	32	7	INVESTIGATIONS ON BACTERIAL FITNESS OF ESCHERICHIA COLI WITH PLASMID MEDIATED BETA-LACTAM RESISTANCE	Michael Pietsch	Michael Pietsch_1; Yvonne Pfeifer_1; Guido Werner_1	Robert Koch Institute, FG 13 Nosocomial Pathogens and Antibiotic Resistance
PSII	33	7	A GI IDENTIFIED IN CLINICAL AND ENVIRONMENTAL MYCOBACTERIUM AVIUM SUBSP. HOMINISSUIS ISOLATES FROM GERMANY	Andrea Sanchini	Andrea Sanchini_1; TOrsten Semmler_1; Lei Mao_1; Astrid Lewin_1	Robert Koch Institute
PSII	34	8	MAGNITUDE OF GENE MUTATIONS CONFERRING DRUG RESISTANT IN MYCOBACTERIUM TUBERCULOSIS STRAINS IN SOUTHWEST ETHIOPIA	Mulualem Tadesse	Mulualem Tadesse_1; Dossegnaw Aragaw_1; Gemeda Abebe_1	Jimma University
PSII	35	8	TRANSFORMING PUBLIC HEALTH MICROBIOLOGY IN THE UNITED STATES WITH WHOLE GENOME SEQUENCING (WGS) - PULSENET AND BEYOND	Peter Gerner-Smidt for PulseNet USA	Peter Gerner-Smidt for PulseNet USA_1	Centers for Disease Control and Prevention, Atlanta, United States
PSII	36	8	OXA-48-PRODUCING ENTEROBACTERIACEAE IN POLAND, 2013-2015	Izdebski Radosław	Izdebski Radosław_1; Baraniak Anna_1; Urbanowicz Paweł_1; Fiett Janusz_1; Żabicka Dorota_1; Bojarska Katarzyna_1; Literacka Elżbieta_1; Hryniewicz Waleria_1; Gniadkowski Marek_1	National Medicines Institute
PSII	37	8	REPORT OF THE FIRST WORLDWIDE DIFFUSION OF A MULTIRESISTANT COAGULASE NEGATIVE STAPHYLOCOCCI AND COMPARATIVE GENOMICS WITH OTHER S. CAPITIS	M Butin	M Butin_1; P Martins Simões_2; L Hoden_3; Y Dumont_3; H Lemriss_4; A Ibrahimi_4; J-C Picaud_1; A. Kearns_5; M A Deighton_6; O Denis_7; J-P Rasigade_2; F Laurent_2	Neonatal Intensive Care Unit, Hospices Civils de Lyon; CIRI - International Centre for Research in Infectious diseases, INSERM U1111, University of Lyon; Department of Clinical Microbiology, Hospices Civils de Lyon; Medical Biotechnology laboratory. (MedBiotech), Medical and Pharmacy School, University Mohammed V Souissi; Public Health England, staphylococcus Reference Service, Colindale; RMIT University, Bundoora; Erasme Hospital, Université Libre de Bruxelles, Laboratoire de Référence MRSA - Staphylocoques, Department of Microbiology
PSII	39	8	MONITORING CLONAL DIVERSITY OF EXTENDED-SPECTRUM CEPHALOSPORIN-RESISTANT ENTEROBACTERIACEAE COLONIZING THE HUMAN GUT 3 MONTHS AFTER TRAVELING TO INDIA	João Pires	João Pires_1; Esther Kuenzli_2; Sara Kasraian_1; Regula Tinguely_1; Hansjakob Furrer_3; Markus Hilty_1; Christoph Hatz_2; Andrea Endimiani_1	Institute for Infectious Diseases, University of Bern; Swiss Tropical and Public Health Institute, Basel; Epidemiology, Biostatistics and Prevention Institute, University of Zurich; Department of Infectious Diseases, Bern University Hospital, University of Bern
PSII	40	8	ONGOING EVOLUTION IN THE HYPERVIRULENT CC17 CLONE OF STREPTOCOCCUS AGALACTIAE	Elisabete Martins	Elisabete Martins_1; Cristiano Rousado_1; José Melo-Cristino_1; Mário Ramirez_1	Instituto de Medicina Molecular, Faculdade de Medicina, Universidade de Lisboa
PSII	41	8	INTEGRATED ANALYSIS PIPELINES FOR WHOLE GENOME MLST AND WHOLE GENOME SNP IN BIONUMERICS® 7.6 APPLIED TO PUBLICLY AVAILABLE LISTERIA MONOCYTOGENES ISOL	Katleen Vranckx	Katleen Vranckx_1; Katrien De Bruyne_1; Bruno Pot_1; Hannes Pouseele_1	Applied Maths NV
PSII	42	8	FROM TYPENED TO REGIOTYPE TO EUROTYPE: MOVING TOWARDS A COMPREHENSIVE SURVEILLANCE STRATEGY FOR EMERGING VIRUSES	R. Poelman	R. Poelman_1; D. Luijt_2; R. van Rhee-Luderer_3; W. Niessen_4; M. van Genne_1; C. Van Leer-Buter_1; B. Niesters_1	University Medical Center Groningen; Certe, Center for infectious Diseases; Izore, Center for infectious Diseases; Regional Public Health service (GGD)
PSII	43	8	DETECTION OF AN EXPANDING STREPTOCOCCUS PNEUMONIAE SEROTYPE 12F CLONE WITH ACQUIRED ANTIBIOTIC RESISTANCE, CIRCULATING IN AFRICA AND ASIA	Rebecca A. Gladstone	Rebecca A. Gladstone_1; Brenda Kwambana-Adams_2; Mignon Du Plessis_3; Maaike Alaerts_4; Paulina Hawkins_5; Rama Kandasamy_6; Ben J. Metcalf_7; Somporn Srifuengfung_8; Stuart C. Clarke_9; Abdullah W. Brooks_10; Veeraraghavan Balaji1_1; Diederik van de Beek1_2; Sarah E. Burr_2; Bernard Beall_7; Andrew J. Pollard_6; Paul Turner1_3; Dean B. Everett_4; Martin Antonio_2; Anne von Gottberg1_4; Keith P. Klugman_5; Lesley McGee_7; Robert F. Breiman1_5; Stephen D. Bentley_1	Pathogen Genomics, Wellcome Trust Sanger Institute, Hinxton, UK; Vaccines and Immunity Theme, MRC Unit The Gambia; National Institute for Communicable Diseases,Johannesburg, South Africa; Malawi-Liverpool-Wellcome-Trust, Malawi; Rollins School Public Health, Emory University, Atlanta, USA; Oxford Vaccine Group, Department of Paediatrics, University of Oxford, and the NIHR Oxford Biomedical Research Centre, Oxford UK; Centers for Disease Control and Prevention, Atlanta, USA. The findings and conclusions in this report are those of the authors and do not necessarily represent the official position of the Centers for Disease Control and Prevention.; Siriraj Hospital, Mahidol University, Bangkok, Thailand; Faculty of Medicine and Institute of Life Sciences, University of Southampton, UK; International Centre for Diarrheal Diseases Research, Dhaka, Bangladesh; Christian Medical College, Vellore, India; Department of Neurology, Academic Medical Center, Center of Infection and Immunity Amsterdam (CINIMA), University of Amsterdam, Amsterdam, The Netherlands; Centre for Tropical Medicine and Global Health, Nuffield Department of Medicine, University of Oxford, Oxford, UK; National Institute for Communicable Diseases, Johannesburg, South Africa; The Emory Global Health Institute, Atlanta, USA. On behalf of all Global Pneumococcal Sequencing project partners. www.pneumogen.net/gps
PSII	44	8	TWO DECADES OF EPIDEMIOLOGICAL SURVEILLANCE OF BURKHOLDERIA CEPACIA COMPLEX BACTERIA IN RESPIRATORY INFECTIONS AT A PORTUGUESE CYSTIC FIBROSIS CENTER	Carla P. Coutinho	Carla P. Coutinho_1; Ana S. Moreira_1; A. Amir Hassan_1; Sandra C. dos Santos_1; Celeste Barreto_2; Luísa Pereira_2; Pilar Azevedo_3; Luís Lito_4; José Melo-Cristino_4; Isabel Sá-Correia_1	iBB-Institute for Bioengineering and Biosciences, Department of Bioengineering, Instituto Superior Técnico (IST), Universidade de Lisboa, Av. Rovisco Pais, 1049-001 Lisbon, Portugal; Cystic Fibrosis Center, Department of Paediatrics, Hospital de Santa Maria, Centro Hospitalar Lisboa Norte, Av. Prof. Egas Moniz, 1649-028 Lisbon, Portugal; Cystic Fibrosis Center, Adults Pulmonology Unit, Hospital de Santa Maria, Centro Hospitalar Lisboa Norte, Av. Prof. Egas Moniz, 1649-028 Lisbon, Portugal; Laboratório de Patologia Clínica, Hospital de Santa Maria, Centro Hospitalar Lisboa Norte, Av. Prof. Egas Moniz, 1649-028 Lisbon, Portugal
PSII	45	8	TRANSFORMING PUBLIC HEALTH MICROBIOLOGY FOR CAMPYLOBACTER WITH WHOLE GENOME SEQUENCING: PULSENET AND BEYOND	Collette Fitzgerald	Collette Fitzgerald_1; Vikrant Dutta_1; Jan Pruckler_1; Darlene Wagner_1; Grant Williams_1; Heather Carleton_1; Christy Bennett_1; Lavin Joseph_1; Eija Trees_1; Andrew Huang_1; Lee S. Katz_1; Lori Gladney_1; Martin C. J. Maiden_2; William Miller_3; Y. Chen_4; S. Zhao_4; Pat McDermott_4; J. Whichard_1; E. M. Ribot_1; H. Pouseele_5; P. Gerner-Smidt_1	CDC; Department of Zoology, University of Oxford; Agricultural Research Service, United States Department of Agriculture; Center for Veterinary Medicine, United States Food and Drug Administration; Applied Maths, Inc.
PSII	46	8	CARBAPENEMASE GENES, OXY TYPES AND MLST TYPES OF FOUR DANISH MEROPENEM NON-SUSCEPTIBLE CLINICAL KLEBSIELLA OXYTOCA STRAINS	Hansen DS	Hansen DS_1; Littauer P_2; Justesen US_3; Hammerum AM_4; Hasman H_4	Herlev Hospital; Hvidovre Hospital; Rigshospitalet; Statens Serum Institut
PSII	47	8	STAPHYLOCOCCUS EPIDERMIDIS NOSOCOMIAL STRAIN IN BREAST MILK OF MOTHERS OF PRETERM NEONATES	Hiie Soeorg	Hiie Soeorg_1; Tuuli Metsvaht_2; Imbi Eelmäe_2; Sirli Treumuth_1; Mirjam Merila_3; Mari-Liis Ilmoja_4; Irja Lutsar_1	Department of Microbiology, University of Tartu; Pediatric Intensive Care Unit, Tartu University Hospital; Department of Neonatology, Children’s Clinic, Tartu University Hospital; Pediatric Intensive Care Unit, Tallinn Children´s Hospital
PSII	48	8	IMPLEMENTATION OF WHOLE GENOME SEQUENCING (WGS) FOR SURVEILLANCE AND OUTBREAK DETECTION OF SHIGA TOXIN-PRODUCING ESCHERICHIA COLI (STEC) IN THE UNITED	Rebecca L. Lindsey	Rebecca L. Lindsey_1; Heather Carleton_1; Sung Im_1; Morgan Schroeder_1; Katrine Joensen_2; Flemming Scheutz_2; Lisley Garcia-Toledo_1; Nancy Strockbine_1; Efrain Ribot_1; Eija Trees_1; Kelley Hise_1; Hannes Pouseele_3; Peter Gerner-Smidt_1	Centers for Disease Control and Prevention; Statens Serum Institut; Applied Maths
PSII	49	8	MOLECULAR CHARACTERIZATION OF VANCOMYCIN-RESISTANT ENTEROCOCCI IN HONG KONG.	Margaret Ip	Margaret Ip_1; Christopher Lai_2; CY Chiu_1; Kitty Fung_3; Raymond Lai_4; Dominic Tsang_2	Chinese University of Hong Kong; Queen Elizabeth Hospital; United Christian Hospital; Prince of Wales Hospital
